apoptotic process,GO:0006915
endothelial to hematopoietic transition,GO:0098508
positive regulation of cap-independent translational initiation,GO:1903679
regulation of meiotic cell cycle,GO:0051445
RNA methylation,GO:0001510
regulation of AMPA glutamate receptor clustering,GO:1904717
regulation of GABA-A receptor activity,GO:0106040
septin cytoskeleton organization,GO:0032185
tongue morphogenesis,GO:0043587
convergent extension involved in somitogenesis,GO:0090246
development of primary male sexual characteristics,GO:0046546
negative regulation of bone remodeling,GO:0046851
negative regulation of fibroblast apoptotic process,GO:2000270
negative regulation of osteoblast proliferation,GO:0033689
neural crest cell fate commitment,GO:0014034
positive regulation of non-canonical Wnt signaling pathway,GO:2000052
prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis,GO:0060527
regulation of branching involved in prostate gland morphogenesis,GO:0060687
regulation of establishment of planar polarity,GO:0090175
regulation of midbrain dopaminergic neuron differentiation,GO:1904956
Wnt signaling pathway involved in somitogenesis,GO:0090244
cAMP-mediated signaling,GO:0019933
cellular response to exogenous dsRNA,GO:0071360
cGAS/STING signaling pathway,GO:0140896
negative regulation of DNA repair,GO:0045738
paracrine signaling,GO:0038001
regulation of T cell activation,GO:0050863
regulation of type I interferon production,GO:0032479
endomitotic cell cycle,GO:0007113
regulation of chromatin organization,GO:1902275
ovarian follicle rupture,GO:0001543
negative regulation of satellite cell differentiation,GO:1902725
negative regulation of skeletal muscle satellite cell proliferation,GO:1902723
skeletal muscle satellite cell activation,GO:0014719
spine apparatus assembly,GO:1905355
CAT tailing,GO:0140708
morphogenesis of a branching epithelium,GO:0061138
regulation of branching involved in salivary gland morphogenesis,GO:0060693
flavin adenine dinucleotide biosynthetic process,GO:0072388
FMN biosynthetic process,GO:0009398
riboflavin biosynthetic process,GO:0009231
riboflavin metabolic process,GO:0006771
negative regulation of protein refolding,GO:0061084
regulation of inclusion body assembly,GO:0090083
negative regulation of mRNA modification,GO:0090367
"negative regulation of phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity",GO:2001145
negative regulation of protein targeting to mitochondrion,GO:1903215
10-formyltetrahydrofolate catabolic process,GO:0009258
folic acid metabolic process,GO:0046655
fibrinolysis,GO:0042730
induction of bacterial agglutination,GO:0043152
plasminogen activation,GO:0031639
positive regulation of heterotypic cell-cell adhesion,GO:0034116
allantois development,GO:1905069
lateral mesodermal cell differentiation,GO:0048371
SAGA complex assembly,GO:0036285
proacrosomal vesicle fusion,GO:0120211
receptor-mediated endocytosis of virus by host cell,GO:0019065
mitochondrial tRNA 3'-end processing,GO:1990180
tRNA 3'-terminal CCA addition,GO:0001680
tRNA surveillance,GO:0106354
cardiolipin metabolic process,GO:0032048
"negative regulation of wound healing, spreading of epidermal cells",GO:1903690
cerebral cortex regionalization,GO:0021796
protein farnesylation,GO:0018343
alpha-tubulin acetylation,GO:0071929
synapse assembly involved in innervation,GO:0060386
cloaca development,GO:0035844
morphogenesis of a polarized epithelium,GO:0001738
positive regulation of growth,GO:0045927
positive regulation of polarized epithelial cell differentiation,GO:0030862
pronephric nephron tubule morphogenesis,GO:0039008
regulation of protein secretion,GO:0050708
specification of axis polarity,GO:0065001
vesicle targeting,GO:0006903
high-density lipoprotein particle remodeling,GO:0034375
positive regulation of reverse cholesterol transport,GO:1903064
reverse cholesterol transport,GO:0043691
positive regulation of brown fat cell differentiation,GO:0090336
membrane raft distribution,GO:0031580
metabolite repair,GO:0110051
nicotinamide nucleotide metabolic process,GO:0046496
regulation of serotonin biosynthetic process,GO:1905627
cell surface receptor signaling pathway via STAT,GO:0097696
reduction of food intake in response to dietary excess,GO:0002023
lysophospholipid transport,GO:0051977
regulation of lysosomal lumen pH,GO:0035751
negative regulation of voltage-gated potassium channel activity,GO:1903817
negative regulation of voltage-gated sodium channel activity,GO:1905151
response to external biotic stimulus,GO:0043207
anterograde axonal transport of neurotransmitter receptor complex,GO:0140231
apical constriction,GO:0003383
contractile ring contraction,GO:0036213
neural fold bending,GO:0021503
creatine transmembrane transport,GO:0015881
positive regulation of platelet-derived growth factor receptor-beta signaling pathway,GO:2000588
positive regulation of pattern recognition receptor signaling pathway,GO:0062208
positive regulation of protein localization to phagocytic vesicle,GO:1905171
protein K69-linked ufmylation,GO:1990592
regulation of intracellular estrogen receptor signaling pathway,GO:0033146
regulation of type II interferon production,GO:0032649
tachykinin receptor signaling pathway,GO:0007217
mitotic cytokinesis checkpoint signaling,GO:0044878
negative regulation of cytokinesis,GO:0032466
positive regulation of viral budding via host ESCRT complex,GO:1903774
vesicle uncoating,GO:0072319
mRNA metabolic process,GO:0016071
negative regulation of kinase activity,GO:0033673
positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity,GO:2000373
protein localization to spindle microtubule,GO:1902889
RNA localization to chromatin,GO:1990280
olfactory learning,GO:0008355
eosinophil differentiation,GO:0030222
response to nematode,GO:0009624
fucose metabolic process,GO:0006004
fucosylation,GO:0036065
positive regulation of protein folding,GO:1903334
protein O-linked fucosylation,GO:0036066
regulation of secretion,GO:0051046
actin filament-based process,GO:0030029
regulation of long-term synaptic depression,GO:1900452
MDA-5 signaling pathway,GO:0039530
negative regulation of chemokine (C-X-C motif) ligand 2 production,GO:2000342
negative regulation of chemokine (C-X-C motif) ligand 9 production,GO:0035395
negative regulation of IP-10 production,GO:0071659
amacrine cell differentiation,GO:0035881
hypotonic response,GO:0006971
intracellular pH reduction,GO:0051452
postsynaptic neurotransmitter receptor diffusion trapping,GO:0098970
thermosensory behavior,GO:0040040
calcium-dependent self proteolysis,GO:1990092
cellular response to oxygen-glucose deprivation,GO:0090650
daunorubicin metabolic process,GO:0044597
doxorubicin metabolic process,GO:0044598
sperm mitochondrial sheath assembly,GO:0120317
cysteine biosynthetic process,GO:0019344
cysteine biosynthetic process from serine,GO:0006535
cysteine biosynthetic process via cystathionine,GO:0019343
DNA protection,GO:0042262
homocysteine catabolic process,GO:0043418
hydrogen sulfide biosynthetic process,GO:0070814
L-cysteine catabolic process,GO:0019448
L-serine catabolic process,GO:0006565
transsulfuration,GO:0019346
regulation of cell division,GO:0051302
D-glucuronate catabolic process to D-xylulose 5-phosphate,GO:0019640
D-xylose metabolic process,GO:0042732
xylulose metabolic process,GO:0005997
glutamate receptor clustering,GO:0097688
endoplasmic reticulum membrane fusion,GO:0016320
UDP-N-acetylglucosamine biosynthetic process,GO:0006048
positive regulation of synapse structural plasticity,GO:0051835
positive regulation of syncytium formation by plasma membrane fusion,GO:0060143
regulation of protein binding,GO:0043393
negative regulation of autophagic cell death,GO:1904093
metal ion transport,GO:0030001
farnesyl diphosphate biosynthetic process,GO:0045337
geranyl diphosphate biosynthetic process,GO:0033384
spontaneous exocytosis of neurotransmitter,GO:0048792
cellular response to molecule of bacterial origin,GO:0071219
negative regulation of small GTPase mediated signal transduction,GO:0051058
positive regulation of memory T cell activation,GO:2000568
positive regulation of T cell mediated cytotoxicity,GO:0001916
regulation of chemotaxis,GO:0050920
protein localization to nuclear envelope,GO:0090435
10-formyltetrahydrofolate biosynthetic process,GO:0009257
L-histidine biosynthetic process,GO:0000105
methionine biosynthetic process,GO:0009086
methionine metabolic process,GO:0006555
purine ribonucleotide biosynthetic process,GO:0009152
somite development,GO:0061053
GDP-mannose biosynthetic process,GO:0009298
muscle organ morphogenesis,GO:0048644
negative regulation of biosynthetic process,GO:0009890
negative regulation of nucleobase-containing compound metabolic process,GO:0045934
negative regulation of phosphate metabolic process,GO:0045936
negative regulation of small molecule metabolic process,GO:0062014
heme catabolic process,GO:0042167
granulosa cell proliferation,GO:1990739
positive regulation of granulosa cell proliferation,GO:1904197
cellular hypotonic salinity response,GO:0071477
chloride ion homeostasis,GO:0055064
potassium ion homeostasis,GO:0055075
HRI-mediated signaling,GO:0140468
negative regulation of endocytosis,GO:0045806
organelle localization by membrane tethering,GO:0140056
"tRNA splicing, via endonucleolytic cleavage and ligation",GO:0006388
phosphatidylserine biosynthetic process,GO:0006659
negative regulation of T cell mediated immunity,GO:0002710
acetate biosynthetic process,GO:0019413
acetyl-CoA biosynthetic process from acetate,GO:0019427
propionate biosynthetic process,GO:0019542
adenosine transport,GO:0032238
cytidine transport,GO:0015861
guanine transmembrane transport,GO:1903716
inosine transport,GO:0035340
norepinephrine transport,GO:0015874
nucleobase transport,GO:0015851
nucleoside transmembrane transport,GO:1901642
nucleoside transport,GO:0015858
purine nucleobase transmembrane transport,GO:1904823
pyrimidine nucleobase transmembrane transport,GO:1904082
serotonin transport,GO:0006837
uracil transmembrane transport,GO:1903791
uridine transmembrane transport,GO:0015862
detection of mechanical stimulus involved in equilibrioception,GO:0050973
methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione,GO:0019243
positive regulation of ligase activity,GO:0051351
regulation of lipid biosynthetic process,GO:0046890
pons development,GO:0021548
subthalamus development,GO:0021539
cellular response to testosterone stimulus,GO:0071394
positive regulation of androgen receptor activity,GO:2000825
mitochondrial membrane fission,GO:0090149
peripheral nervous system neuron axonogenesis,GO:0048936
antigen processing and presentation following phagocytosis,GO:0002747
antigen processing and presentation of polysaccharide antigen via MHC class II,GO:0002505
calcium ion regulated lysosome exocytosis,GO:1990927
early endosome to Golgi transport,GO:0034498
endosome to lysosome transport of low-density lipoprotein particle,GO:0090117
viral exocytosis,GO:0046754
